time,Tair,RH,ludian
2023-07-21 15:00:00,5.44,64.81,-0.64
2023-07-21 16:00:00,3.21,75.3,-0.74
2023-07-21 17:00:00,3.28,78.69,-0.06
2023-07-21 18:00:00,3.25,80.0,0.14
2023-07-21 19:00:00,2.37,84.31,0.0
2023-07-21 20:00:00,3.23,79.08,-0.05
2023-07-21 21:00:00,3.08,82.35,0.37
2023-07-21 22:00:00,2.9,81.13,-0.01
2023-07-21 23:00:00,2.93,79.46,-0.27
2023-07-22 00:00:00,2.83,75.24,-1.11
2023-07-22 01:00:00,1.96,79.45,-1.22
2023-07-22 02:00:00,1.14,84.26,-1.22
2023-07-22 03:00:00,1.51,83.23,-1.03
2023-07-22 04:00:00,1.01,78.38,-2.32
2023-07-22 05:00:00,0.53,80.48,-2.44
2023-07-22 06:00:00,0.17,81.36,-2.64
2023-07-22 07:00:00,0.46,80.12,-2.57
2023-07-22 08:00:00,1.51,76.9,-2.09
2023-07-22 09:00:00,2.74,72.53,-1.7
2023-07-22 10:00:00,4.39,62.94,-2.04
2023-07-22 11:00:00,5.27,56.4,-2.69
2023-07-22 12:00:00,5.41,60.66,-1.58
2023-07-22 13:00:00,5.06,66.08,-0.74
2023-07-22 14:00:00,5.13,69.31,-0.02
2023-07-22 15:00:00,6.35,60.91,-0.63
2023-07-22 16:00:00,6.34,62.17,-0.37
2023-07-22 17:00:00,6.98,58.11,-0.68
2023-07-22 18:00:00,7.52,54.32,-1.1
2023-07-22 19:00:00,6.89,58.61,-0.65
2023-07-22 20:00:00,6.41,62.86,-0.14
2023-07-22 21:00:00,3.76,78.1,0.31
2023-07-22 22:00:00,4.01,76.93,0.33
2023-07-22 23:00:00,4.0,84.71,1.66
2023-07-23 00:00:00,3.01,84.52,0.66
2023-07-23 01:00:00,3.31,81.32,0.42
2023-07-23 02:00:00,2.66,85.82,0.53
2023-07-23 03:00:00,2.16,85.3,-0.05
2023-07-23 04:00:00,1.88,84.92,-0.38
2023-07-23 05:00:00,1.9,86.9,-0.05
2023-07-23 06:00:00,0.88,90.73,-0.46
2023-07-23 07:00:00,1.41,88.8,-0.23
2023-07-23 08:00:00,1.47,91.39,0.22
2023-07-23 09:00:00,2.46,86.77,0.48
2023-07-23 10:00:00,3.87,73.45,-0.43
2023-07-23 11:00:00,4.33,69.96,-0.66
2023-07-23 12:00:00,4.81,69.92,-0.21
2023-07-23 13:00:00,5.16,70.52,0.25
2023-07-23 14:00:00,6.01,67.29,0.41
2023-07-23 15:00:00,6.68,60.21,-0.48
2023-07-23 16:00:00,6.66,66.0,0.77
2023-07-23 17:00:00,6.61,64.16,0.33
2023-07-23 18:00:00,6.08,69.3,0.89
2023-07-23 19:00:00,5.44,71.01,0.61
2023-07-23 20:00:00,4.62,78.22,1.16
2023-07-23 21:00:00,3.57,80.09,0.46
2023-07-23 22:00:00,3.08,85.06,0.81
2023-07-23 23:00:00,3.44,82.62,0.77
2023-07-24 00:00:00,3.05,84.31,0.66
2023-07-24 01:00:00,2.82,80.83,-0.14
2023-07-24 02:00:00,2.42,89.36,0.85
2023-07-24 03:00:00,1.83,92.99,0.82
2023-07-24 04:00:00,1.97,89.01,0.35
2023-07-24 05:00:00,1.76,89.07,0.15
2023-07-24 06:00:00,1.9,86.38,-0.13
2023-07-24 07:00:00,1.22,91.58,0.0
2023-07-24 08:00:00,1.65,91.52,0.42
2023-07-24 09:00:00,2.94,83.4,0.4
2023-07-24 10:00:00,2.66,84.85,0.37
2023-07-24 11:00:00,4.0,81.57,1.13
2023-07-24 12:00:00,4.46,77.22,0.82
2023-07-24 13:00:00,4.29,77.77,0.75
2023-07-24 14:00:00,5.03,75.76,1.11
2023-07-24 15:00:00,5.05,73.67,0.75
2023-07-24 16:00:00,5.04,74.14,0.82
2023-07-24 17:00:00,5.43,71.66,0.73
2023-07-24 18:00:00,4.52,73.95,0.29
2023-07-24 19:00:00,4.13,78.25,0.69
2023-07-24 20:00:00,2.79,85.22,0.55
2023-07-24 21:00:00,2.77,84.86,0.48
