time,WS_Avg,WD_Avg,Ta_Avg,RH_Avg,Vapor_Avg,DR_Avg,UR_Avg,DLR_Avg,ULR_Avg,Rn_Avg,Albedo_Avg,T_NR01_C_Avg,Snow_Depth
2022/12/11 14:00,3.332,174.9,-10.57,22.55,0.062,0,1.115,143.6,220.6,-78.1,0,-12.22,1.424
2022/12/11 14:30,2.254,185.9,-10.48,21.76,0.06,0,0.557,142,218.9,-77.44,0,-12.57,1.42
2022/12/11 15:00,0.784,202.4,-10.09,21.94,0.062,0,2.23,143,219,-78.24,0,-12.16,1.415
2022/12/11 15:30,3.136,180.9,-9.7,19.09,0.056,0,3.344,142.1,219.4,-80.7,0,-11.57,1.414
2022/12/11 16:00,2.842,175.4,-11.91,22.69,0.056,9.11,8.92,145,217.1,-71.83,0.979,-12.22,1.44
2022/12/11 16:30,2.842,149.9,-11.19,23.68,0.062,22.17,18.39,144.3,216.9,-68.83,0.83,-13.22,1.422
2022/12/11 17:00,2.842,172.6,-11.43,23.65,0.06,31.59,27.87,145.2,218.3,-69.41,0.882,-12.76,1.426
2022/12/11 17:30,3.038,188.7,-10.05,19.91,0.057,139.4,88.4,146.8,220.7,-22.83,0.634,-10.63,1.436
2022/12/11 18:00,2.842,182.7,-7.279,19.05,0.067,44.03,270.9,147.7,241.9,-321,6.151,-4.699,1.428
2022/12/11 18:30,2.156,152.9,-6.181,21.84,0.084,399.2,320.6,150.2,251.8,-22.98,0.803,-2.538,1.426
2022/12/11 19:00,2.156,173.2,-6.454,25.56,0.096,448.1,360,152.4,260.5,-19.98,0.803,-0.378,1.423
2022/12/11 19:30,2.352,170.9,-5.418,26.38,0.108,486.9,392.2,153.4,266.7,-18.67,0.806,-0.231,1.423
2022/12/11 20:00,2.254,162.9,-3.952,20.83,0.095,510.4,416.8,151.3,268,-23.18,0.817,-0.168,1.425
2022/12/11 20:30,0.392,167.6,-2.674,18.98,0.095,514.8,434.8,147.8,269.7,-41.91,0.845,2.433,1.423
2022/12/11 21:00,4.312,73.08,-3.644,16.96,0.079,514.5,449.5,150.7,271.9,-56.19,0.874,-2.033,1.419
