time,Tair,RH,ludian
2023-08-27 16:00:00,2.89,86.12,0.8
2023-08-27 17:00:00,2.47,86.09,0.39
2023-08-27 18:00:00,2.69,85.12,0.44
2023-08-27 19:00:00,2.98,88.19,1.22
2023-08-27 20:00:00,3.03,85.23,0.79
2023-08-27 21:00:00,3.13,85.08,0.87
2023-08-27 22:00:00,2.6,88.05,0.82
2023-08-27 23:00:00,3.07,89.53,1.52
2023-08-28 00:00:00,2.76,88.91,1.11
2023-08-28 01:00:00,2.43,90.65,1.06
2023-08-28 02:00:00,2.38,93.53,1.44
2023-08-28 03:00:00,3.35,85.99,1.23
2023-08-28 04:00:00,3.12,85.97,1.01
2023-08-28 05:00:00,2.31,89.47,0.76
2023-08-28 06:00:00,1.79,90.05,0.33
2023-08-28 07:00:00,2.12,90.14,0.68
2023-08-28 08:00:00,1.99,88.82,0.34
2023-08-28 09:00:00,2.6,87.26,0.7
2023-08-28 10:00:00,2.78,87.24,0.87
2023-08-28 11:00:00,5.15,80.59,2.09
2023-08-28 12:00:00,6.63,70.74,1.7
2023-08-28 13:00:00,5.02,81.43,2.11
2023-08-28 14:00:00,6.19,79.35,2.89
2023-08-28 15:00:00,5.16,81.49,2.25
2023-08-28 16:00:00,6.46,76.28,2.59
2023-08-28 17:00:00,5.92,77.71,2.33
2023-08-28 18:00:00,4.8,84.35,2.39
2023-08-28 19:00:00,4.86,81.8,2.02
2023-08-28 20:00:00,3.72,85.98,1.6
2023-08-28 21:00:00,3.31,89.38,1.73
2023-08-28 22:00:00,3.62,88.01,1.82
2023-08-28 23:00:00,3.43,88.01,1.63
2023-08-29 00:00:00,3.8,87.66,1.94
2023-08-29 01:00:00,3.44,88.75,1.76
2023-08-29 02:00:00,3.57,87.18,1.64
2023-08-29 03:00:00,3.45,87.84,1.63
2023-08-29 04:00:00,3.85,88.41,2.11
2023-08-29 05:00:00,3.19,87.22,1.28
2023-08-29 06:00:00,3.52,86.76,1.52
2023-08-29 07:00:00,3.0,90.8,1.64
2023-08-29 08:00:00,3.83,87.99,2.02
2023-08-29 09:00:00,4.76,86.51,2.71
2023-08-29 10:00:00,6.73,77.32,3.05
2023-08-29 11:00:00,7.03,75.52,3.01
2023-08-29 12:00:00,8.01,67.52,2.38
2023-08-29 13:00:00,8.35,65.28,2.23
2023-08-29 14:00:00,9.66,62.5,2.86
2023-08-29 15:00:00,9.9,59.36,2.35
2023-08-29 16:00:00,10.48,58.6,2.72
2023-08-29 17:00:00,9.3,62.43,2.5
2023-08-29 18:00:00,8.19,66.18,2.26
2023-08-29 19:00:00,7.06,70.1,1.99
2023-08-29 20:00:00,5.23,79.9,2.04
2023-08-29 21:00:00,4.43,81.95,1.62
