time,Tair,RH,zz
08/27/2023 15:40:14,7.37,67.33,1.72
08/27/2023 16:40:14,3.23,91.34,1.96
08/27/2023 17:40:14,2.76,91.8,1.56
08/27/2023 18:40:14,2.69,91.86,1.5
08/27/2023 19:40:14,3.01,92.01,1.84
08/27/2023 20:40:14,2.93,86.42,0.89
08/27/2023 21:40:14,2.8,87.26,0.89
08/27/2023 22:40:14,2.8,88.87,1.15
08/27/2023 23:40:14,2.76,90.76,1.41
08/28/2023 00:40:14,2.43,89.74,0.92
08/28/2023 01:40:14,2.51,91.45,1.26
08/28/2023 02:40:14,2.73,89.99,1.26
08/28/2023 03:40:14,2.73,87.36,0.84
08/28/2023 04:40:14,3.3,84.94,1.01
08/28/2023 05:40:14,2.48,87.38,0.6
08/28/2023 06:40:14,1.81,90.83,0.47
08/28/2023 07:40:14,2.21,88.44,0.5
08/28/2023 08:40:14,1.9,89.94,0.42
08/28/2023 09:40:14,2.51,88.05,0.74
08/28/2023 10:40:14,3.58,85.93,1.45
08/28/2023 11:40:14,4.57,81.11,1.61
08/28/2023 12:40:14,5.16,77.7,1.59
08/28/2023 13:40:14,5.03,78.85,1.67
08/28/2023 14:40:14,6.26,77.61,2.64
08/28/2023 15:40:14,6.86,75.93,2.92
08/28/2023 16:40:14,5.76,78.67,2.35
08/28/2023 17:40:14,5.49,81.31,2.55
08/28/2023 18:40:14,5.12,83.8,2.61
08/28/2023 19:40:14,4.47,83.91,2
08/28/2023 20:40:14,3.83,88.93,2.17
08/28/2023 21:40:14,3.53,88.27,1.78
08/28/2023 22:40:14,3.58,87.18,1.65
08/28/2023 23:40:14,3.41,88.47,1.69
08/29/2023 00:40:14,3.39,90.95,2.05
08/29/2023 01:40:14,3.5,91.66,2.27
08/29/2023 02:40:14,3.03,92.42,1.92
08/29/2023 03:40:14,3.45,90.9,2.11
08/29/2023 04:40:14,3.18,88.62,1.48
08/29/2023 05:40:14,3.21,90.16,1.75
08/29/2023 06:40:14,3.18,89.51,1.62
08/29/2023 07:40:14,3.61,88.48,1.89
08/29/2023 08:40:14,4.17,86.87,2.18
08/29/2023 09:40:14,5.25,84.5,2.86
08/29/2023 10:40:14,5.65,82.05,2.83
08/29/2023 11:40:14,6.43,79.24,3.1
08/29/2023 12:40:14,8.36,69.11,3.03
08/29/2023 13:40:14,7.52,68.89,2.18
08/29/2023 14:40:14,9.7,61.99,2.78
08/29/2023 15:40:14,12.1,54.61,3.24
08/29/2023 16:40:14,8.87,59.78,1.48
08/29/2023 17:40:14,9.33,61.96,2.43
08/29/2023 18:40:14,8.94,64.59,2.63
08/29/2023 19:40:14,7.44,73.37,2.99
08/29/2023 20:40:14,5.65,80.26,2.52
08/29/2023 21:40:14,5.04,80.44,1.96
08/29/2023 22:40:14,4.25,79.88,1.09
08/29/2023 23:40:14,4.45,80.21,1.34
08/30/2023 00:40:14,3.54,82.77,0.89
08/30/2023 01:40:14,3.76,83.55,1.23
08/30/2023 02:40:14,3.76,84.78,1.44
08/30/2023 03:40:14,4.02,84.31,1.62
08/30/2023 04:40:14,3.63,84.76,1.31
08/30/2023 05:40:14,3.44,83.72,0.95
08/30/2023 06:40:14,3.08,84.07,0.66
08/30/2023 07:40:14,3.14,84.99,0.86
08/30/2023 08:40:14,6.57,74.13,2.3
08/30/2023 09:40:14,4.41,79.24,1.14
08/30/2023 10:40:14,6.34,73.34,1.92
08/30/2023 11:40:14,5.23,73.45,0.87
08/30/2023 12:40:14,7.83,65.79,1.83
08/30/2023 13:40:14,9.11,62.36,2.3
08/30/2023 14:40:14,8.89,57.93,1.07
08/30/2023 15:40:14,10.47,55.25,1.88
08/30/2023 16:40:14,9.55,57.91,1.68
08/30/2023 17:40:14,9.77,58.64,2.07
08/30/2023 18:40:14,8.78,62.78,2.09
08/30/2023 19:40:14,7.01,67.81,1.47
08/30/2023 20:40:14,5.48,74.28,1.28
08/30/2023 21:40:14,5.03,75.85,1.13
08/30/2023 22:40:14,4.51,78.93,1.17
08/30/2023 23:40:14,4.3,81.09,1.35
08/31/2023 00:40:14,4.54,78.43,1.12
08/31/2023 01:40:14,4.49,77.75,0.95
08/31/2023 02:40:14,4.24,80.13,1.13
08/31/2023 03:40:14,4.32,81.52,1.44
08/31/2023 04:40:14,4.47,79.48,1.23
08/31/2023 05:40:14,4.01,81.18,1.08
08/31/2023 06:40:14,3.7,82.52,1.01
08/31/2023 07:40:14,3.82,82.02,1.04
08/31/2023 08:40:14,4.69,79.16,1.4
08/31/2023 09:40:14,6.24,74.3,2.01
08/31/2023 10:40:14,8.19,68.4,2.73
08/31/2023 11:40:14,7.46,67.35,1.81
08/31/2023 12:40:14,9.82,58.22,2.01
08/31/2023 13:40:14,8.34,62.88,1.69
08/31/2023 14:40:14,10.43,56.49,2.16
08/31/2023 15:40:14,9.6,57.31,1.59
08/31/2023 16:40:14,11.44,52.29,2.02
08/31/2023 17:40:14,9.19,60.59,1.97
08/31/2023 18:40:14,8.06,62.44,1.33
08/31/2023 19:40:14,7.16,69.48,1.96
08/31/2023 20:40:14,5.9,75.47,1.9
08/31/2023 21:40:14,4.9,75.98,1.03
08/31/2023 22:40:14,4.34,78.61,0.95
08/31/2023 23:40:14,4.93,84.31,2.51
09/01/2023 00:40:14,3.23,93.28,2.25
09/01/2023 01:40:14,2.33,95.01,1.61
09/01/2023 02:40:14,2.51,95.32,1.83
09/01/2023 03:40:14,2.51,95.09,1.81
09/01/2023 04:40:14,2.09,95.28,1.41
09/01/2023 05:40:14,1.66,96.36,1.14
09/01/2023 06:40:14,1.9,96.39,1.39
09/01/2023 07:40:14,2.06,96.71,1.59
09/01/2023 08:40:14,2.16,96.95,1.72
09/01/2023 09:40:14,2.34,96.7,1.86
09/01/2023 10:40:14,3.31,95.59,2.67
09/01/2023 11:40:14,5.59,91.74,4.36
09/01/2023 12:40:14,6.44,91.3,5.13
09/01/2023 13:40:14,6.72,91.67,5.46
09/01/2023 14:40:14,8.88,91.3,7.55
09/01/2023 15:40:14,8.23,91.44,6.92
09/01/2023 16:40:14,6.97,92.54,5.85
09/01/2023 17:40:14,6.17,91.25,4.86
09/01/2023 18:40:14,5.55,89.4,3.95
09/01/2023 19:40:14,4.08,89.05,2.44
09/01/2023 20:40:14,3.54,79.05,0.25
09/01/2023 21:40:14,5.01,70.39,0.07
09/01/2023 22:40:14,3.72,72.76,-0.71
09/01/2023 23:40:14,4.05,70.93,-0.75
09/02/2023 00:40:14,2.62,78.32,-0.76
09/02/2023 01:40:14,2.87,75.97,-0.94
09/02/2023 02:40:14,2.08,77.65,-1.42
09/02/2023 03:40:14,1.95,74.96,-2.01
09/02/2023 04:40:14,1.41,77.24,-2.13
09/02/2023 05:40:14,1.33,72.54,-3.06
09/02/2023 06:40:14,1.3,71.1,-3.35
09/02/2023 07:40:14,1.55,69.27,-3.46
09/02/2023 08:40:14,3.55,67.86,-1.82
09/02/2023 09:40:14,7.3,56.5,-0.77
09/02/2023 10:40:14,5.52,62.96,-0.97
09/02/2023 11:40:14,6.66,59.77,-0.6
09/02/2023 12:40:14,6.23,59.36,-1.09
09/02/2023 13:40:14,6.48,56.49,-1.54
09/02/2023 14:40:14,8.93,47.26,-1.69
09/02/2023 15:40:14,8.94,50.85,-0.68
09/02/2023 16:40:14,8.53,49.66,-1.38
09/02/2023 17:40:14,9.11,48.52,-1.17
09/02/2023 18:40:14,8.42,49.18,-1.62
09/02/2023 19:40:14,6.3,53.28,-2.5
09/02/2023 20:40:14,5.37,57.98,-2.22
09/02/2023 21:40:14,3.85,65.38,-2.04
09/02/2023 22:40:14,3.26,68.21,-2.04
09/02/2023 23:40:14,2.82,71.72,-1.78
09/03/2023 00:40:14,2.8,72.08,-1.73
09/03/2023 01:40:14,2.75,72.01,-1.79
09/03/2023 02:40:14,2.38,72.98,-1.96
09/03/2023 03:40:14,1.98,75.72,-1.85
09/03/2023 04:40:14,1.82,75.3,-2.08
09/03/2023 05:40:14,1.16,77.79,-2.29
09/03/2023 06:40:14,0.98,78.9,-2.26
09/03/2023 07:40:14,0.73,80.28,-2.28
09/03/2023 08:40:14,3.34,75.05,-0.65
09/03/2023 09:40:14,5.33,70.14,0.33
09/03/2023 10:40:14,5.93,68.45,0.57
09/03/2023 11:40:14,5.78,67.7,0.28
09/03/2023 12:40:14,5.86,66.57,0.12
09/03/2023 13:40:14,6.4,63.57,0
09/03/2023 14:40:14,7.53,60.58,0.41
09/03/2023 15:40:14,8.12,58.72,0.53
09/03/2023 16:40:14,8.87,56.11,0.61
09/03/2023 17:40:14,9.33,53.8,0.46
09/03/2023 18:40:14,6.89,61.64,0.04
09/03/2023 19:40:14,4.47,69.71,-0.58
09/03/2023 20:40:14,4.57,70.48,-0.33
09/03/2023 21:40:14,4.01,74.34,-0.14
09/03/2023 22:40:14,3.78,75.21,-0.2
09/03/2023 23:40:14,3.58,74.28,-0.56
09/04/2023 00:40:14,2.89,77.64,-0.63
09/04/2023 01:40:14,2.94,79.1,-0.32
09/04/2023 02:40:14,3.37,78.91,0.07
09/04/2023 03:40:14,3.88,76.05,0.05
09/04/2023 04:40:14,2.63,83.94,0.19
09/04/2023 05:40:14,1.27,92.1,0.12
09/04/2023 06:40:14,1.09,93.07,0.09
09/04/2023 07:40:14,1.06,94.33,0.25
09/04/2023 08:40:14,1.47,92.61,0.41
09/04/2023 09:40:14,3.83,83.43,1.29
09/04/2023 10:40:14,5.86,73.21,1.44
09/04/2023 11:40:14,5.06,73.88,0.8
09/04/2023 12:40:14,5.37,73.58,1.03
09/04/2023 13:40:14,6.39,69.07,1.14
