time,Tair,RH
2021-11-14 13:00:00,1.398,67.441
2021-11-14 14:00:00,2.316,51.831
2021-11-14 15:00:00,3.485,49.948
2021-11-14 16:00:00,3.009,56.477
2021-11-14 17:00:00,3.089,50.489
2021-11-14 18:00:00,1.588,52.461
2021-11-14 19:00:00,0.825,52.642
2021-11-14 20:00:00,-1.842,68.661
2021-11-14 21:00:00,-2.16,66.359
2021-11-14 22:00:00,-2.596,69.788
2021-11-14 23:00:00,-2.859,74.357
2021-11-15 00:00:00,-3.508,77.389
2021-11-15 01:00:00,-3.956,80.331
2021-11-15 02:00:00,-4.227,82.101
2021-11-15 03:00:00,-4.804,81.154
2021-11-15 04:00:00,-4.895,81.741
2021-11-15 05:00:00,-3.896,81.443
2021-11-15 06:00:00,-4.499,85.301
2021-11-15 07:00:00,-4.227,88.262
2021-11-15 08:00:00,-4.743,90.031
2021-11-15 09:00:00,-4.59,85.626
2021-11-15 10:00:00,-2.479,85.272
2021-11-15 11:00:00,0.329,72.832
2021-11-15 12:00:00,1.153,68.885
2021-11-15 13:00:00,1.044,70.78
2021-11-15 14:00:00,1.153,71.102
2021-11-15 15:00:00,1.289,72.298
2021-11-15 16:00:00,1.044,70.889
2021-11-15 17:00:00,0.66,69.694
2021-11-15 18:00:00,0.329,72.643
2021-11-15 19:00:00,-0.06,76.066
2021-11-15 20:00:00,-0.311,75.375
2021-11-15 21:00:00,-0.62,76.025
2021-11-15 22:00:00,-1.27,80.124
2021-11-15 23:00:00,-1.242,76.34
2021-11-16 00:00:00,-1.327,77.006
2021-11-16 01:00:00,-1.641,77.278
2021-11-16 02:00:00,-1.842,77.47
2021-11-16 03:00:00,-2.276,80.616
2021-11-16 04:00:00,-2.859,85.806
2021-11-16 05:00:00,-3.39,90.045
2021-11-16 06:00:00,-3.896,89.229
2021-11-16 07:00:00,-3.956,89.58
2021-11-16 08:00:00,-4.499,87.873
2021-11-16 09:00:00,-3.926,85.841
2021-11-16 10:00:00,-2.044,83.838
2021-11-16 11:00:00,-0.367,74.804
2021-11-16 12:00:00,0.577,73.125
2021-11-16 13:00:00,0.439,70.361
2021-11-16 14:00:00,0.412,76.22
2021-11-16 15:00:00,0.55,73.9
2021-11-16 16:00:00,0.577,74.12
2021-11-16 17:00:00,0.88,67.011
2021-11-16 18:00:00,-0.116,67.899
2021-11-16 19:00:00,-0.283,69.1
2021-11-16 20:00:00,-0.704,67.21
2021-11-16 21:00:00,-3.33,76.96
2021-11-16 22:00:00,-4.287,77.787
2021-11-16 23:00:00,-4.318,75.805
2021-11-17 00:00:00,-4.773,76.175
2021-11-17 01:00:00,-4.712,74.831
2021-11-17 02:00:00,-5.418,76.863
2021-11-17 03:00:00,-6.042,77.421
2021-11-17 04:00:00,-6.294,76.335
2021-11-17 05:00:00,-6.898,79.653
2021-11-17 06:00:00,-7.478,79.823
2021-11-17 07:00:00,-7.771,79.123
2021-11-17 08:00:00,-7.771,77.649
2021-11-17 09:00:00,-6.962,78.673
2021-11-17 10:00:00,-3.568,71.447
2021-11-17 11:00:00,-1.043,68.106
2021-11-17 12:00:00,-0.563,67.814
2021-11-17 13:00:00,-0.451,71.297
2021-11-17 14:00:00,0.605,67.954
2021-11-17 15:00:00,1.967,48.038
2021-11-17 16:00:00,2.343,57.416
2021-11-17 17:00:00,2.289,52.122
2021-11-17 18:00:00,0.439,52.088
2021-11-17 19:00:00,-0.902,53.203
2021-11-17 20:00:00,-0.76,48.413
2021-11-17 21:00:00,-2.16,53.941
2021-11-17 22:00:00,-3.598,59.324
2021-11-17 23:00:00,-3.836,57.195
2021-11-18 00:00:00,-4.926,61.692
2021-11-18 01:00:00,-5.574,63.507
2021-11-18 02:00:00,-6.042,64.161
2021-11-18 03:00:00,-6.105,61.817
2021-11-18 04:00:00,-7.09,66.354
2021-11-18 05:00:00,-6.706,65.318
2021-11-18 06:00:00,-7.187,69.599
2021-11-18 07:00:00,-7.706,70.421
2021-11-18 08:00:00,-7.804,70.955
2021-11-18 09:00:00,-6.231,65.081
2021-11-18 10:00:00,-5.418,75.462
2021-11-18 11:00:00,-2.189,63.398
2021-11-18 12:00:00,-0.789,68.592
2021-11-18 13:00:00,1.18,60.068
2021-11-18 14:00:00,2.584,48.63
2021-11-18 15:00:00,4.115,42.617
2021-11-18 16:00:00,4.766,41.494
2021-11-18 17:00:00,3.932,44.246
2021-11-18 18:00:00,2.289,44.528
2021-11-18 19:00:00,1.18,51.372
2021-11-18 20:00:00,-1.527,60.912
2021-11-18 21:00:00,-2.421,64.409
2021-11-18 22:00:00,-3.065,64.237
2021-11-18 23:00:00,-3.508,65.394
2021-11-19 00:00:00,-3.242,62.182
2021-11-19 01:00:00,-4.408,66.21
2021-11-19 02:00:00,-4.59,64.811
2021-11-19 03:00:00,-5.172,66.529
2021-11-19 04:00:00,-5.791,67.976
2021-11-19 05:00:00,-6.231,69.203
2021-11-19 06:00:00,-6.994,72.882
2021-11-19 07:00:00,-6.61,70.511
2021-11-19 08:00:00,-7.284,71.877
2021-11-19 09:00:00,-6.294,71.686
2021-11-19 10:00:00,-4.408,73.45
2021-11-19 11:00:00,-1.613,66.214
2021-11-19 12:00:00,-0.032,57.065
2021-11-19 13:00:00,1.643,69.557
2021-11-19 14:00:00,3.512,50.429
2021-11-19 15:00:00,5.872,35.782
2021-11-19 16:00:00,5.616,45.188
2021-11-19 17:00:00,5.642,38.582
2021-11-19 18:00:00,4.22,50.677
2021-11-19 19:00:00,3.406,52.166
2021-11-19 20:00:00,1.262,63.115
2021-11-19 21:00:00,-0.311,70.81
2021-11-19 22:00:00,-1.157,73.438
2021-11-19 23:00:00,-1.986,75.837
2021-11-20 00:00:00,-2.625,77.376
2021-11-20 01:00:00,-3.065,77.799
2021-11-20 02:00:00,-3.479,77.863
2021-11-20 03:00:00,-3.926,79.338
2021-11-20 04:00:00,-4.378,80.234
2021-11-20 05:00:00,-4.651,81.444
2021-11-20 06:00:00,-5.079,82.933
2021-11-20 07:00:00,-5.511,83.631
2021-11-20 08:00:00,-5.885,84.736
2021-11-20 09:00:00,-4.957,85.61
2021-11-20 10:00:00,-1.756,76.702
2021-11-20 11:00:00,-0.958,82.207
2021-11-20 12:00:00,-0.255,85.336
2021-11-20 13:00:00,1.344,81.085
2021-11-20 14:00:00,3.354,70.689
2021-11-20 15:00:00,5.591,46.404
2021-11-20 16:00:00,5.821,54.001
2021-11-20 17:00:00,4.921,55.957
2021-11-20 18:00:00,4.428,54.971
2021-11-20 19:00:00,3.459,62.223
2021-11-20 20:00:00,3.195,68.835
2021-11-20 21:00:00,2.61,73.028
2021-11-20 22:00:00,1.643,76.245
2021-11-20 23:00:00,-0.732,81.823
2021-11-21 00:00:00,-1.185,84.755
2021-11-21 01:00:00,-0.93,86.584
2021-11-21 02:00:00,-1.071,89.367
2021-11-21 03:00:00,-0.845,88.257
2021-11-21 04:00:00,-0.62,88.14
2021-11-21 05:00:00,-1.1,90.175
2021-11-21 06:00:00,-1.929,88.454
2021-11-21 07:00:00,-3.065,86.926
2021-11-21 08:00:00,-3.627,86.81
2021-11-21 09:00:00,-2.976,89.418
2021-11-21 10:00:00,-1.641,92.309
2021-11-21 11:00:00,0.329,85.859
2021-11-21 12:00:00,2.396,75.817
2021-11-21 13:00:00,2.128,77.628
2021-11-21 14:00:00,2.021,78.902
2021-11-21 15:00:00,2.155,75.578
2021-11-21 16:00:00,1.751,77.864
2021-11-21 17:00:00,1.967,75.029
2021-11-21 18:00:00,1.48,75.863
2021-11-21 19:00:00,0.934,77.05
2021-11-21 20:00:00,0.77,76.218
2021-11-21 21:00:00,0.66,77.096
2021-11-21 22:00:00,0.439,80.253
2021-11-21 23:00:00,0.356,79.581
2021-11-22 00:00:00,0.024,79.611
2021-11-22 01:00:00,-0.283,80.53
2021-11-22 02:00:00,-0.676,83.401
2021-11-22 03:00:00,-1.327,88.756
2021-11-22 04:00:00,-0.62,77.345
2021-11-22 05:00:00,-0.902,79.948
2021-11-22 06:00:00,-1.185,82.616
2021-11-22 07:00:00,-1.441,84.693
2021-11-22 08:00:00,-1.384,85.414
2021-11-22 09:00:00,-1.071,84.097
2021-11-22 10:00:00,-0.62,80.894
2021-11-22 11:00:00,-0.845,86.328
2021-11-22 12:00:00,-0.283,81.152
2021-11-22 13:00:00,-0.423,79.484
2021-11-22 14:00:00,0.079,76.441
2021-11-22 15:00:00,-0.06,79.2
2021-11-22 16:00:00,-0.255,80.355
2021-11-22 17:00:00,-0.676,84.65
2021-11-22 18:00:00,-1.015,84.543
2021-11-22 19:00:00,-2.073,94.989
2021-11-22 20:00:00,-2.392,95.116
2021-11-22 21:00:00,-3.301,93.287
2021-11-22 22:00:00,-3.094,89.657
2021-11-22 23:00:00,-2.8,90.076
2021-11-23 00:00:00,-2.859,95.414
2021-11-23 01:00:00,-3.33,97.405
2021-11-23 02:00:00,-3.508,97.985
2021-11-23 03:00:00,-3.39,94.124
2021-11-23 04:00:00,-3.747,98.545
2021-11-23 05:00:00,-3.717,99.272
2021-11-23 06:00:00,-4.257,98.304
2021-11-23 07:00:00,-4.197,98.322
2021-11-23 08:00:00,-4.016,98.467
2021-11-23 09:00:00,-3.986,98.985
2021-11-23 10:00:00,-3.717,97.341
2021-11-23 11:00:00,-3.538,95.699
2021-11-23 12:00:00,-3.449,96.101
2021-11-23 13:00:00,-3.301,95.339
2021-11-23 14:00:00,-4.257,98.814
2021-11-23 15:00:00,-3.896,97.617
2021-11-23 16:00:00,-3.717,94.225
2021-11-23 17:00:00,-3.717,99.11
2021-11-23 18:00:00,-4.137,96.66
2021-11-23 19:00:00,-4.651,98.283
2021-11-23 20:00:00,-4.773,98.894
2021-11-23 21:00:00,-5.079,97.091
2021-11-23 22:00:00,-7.026,92.511
2021-11-23 23:00:00,-6.93,88.758
2021-11-24 00:00:00,-8.43,89.184
2021-11-24 01:00:00,-6.834,89.073
2021-11-24 02:00:00,-7.122,89.407
2021-11-24 03:00:00,-8.165,92.201
2021-11-24 04:00:00,-7.381,86.48
2021-11-24 05:00:00,-7.122,85.196
2021-11-24 06:00:00,-7.869,87.305
2021-11-24 07:00:00,-7.284,81.68
2021-11-24 08:00:00,-7.804,79.267
2021-11-24 09:00:00,-8.066,77.404
2021-11-24 10:00:00,-6.802,74.54
2021-11-24 11:00:00,-6.262,74.916
2021-11-24 12:00:00,-4.957,74.124
2021-11-24 13:00:00,-4.227,69.761
2021-11-24 14:00:00,-3.986,68.786
2021-11-24 15:00:00,-3.657,70.599
2021-11-24 16:00:00,-3.777,71.751
2021-11-24 17:00:00,-3.866,74.539
2021-11-24 18:00:00,-3.896,74.533
2021-11-24 19:00:00,-5.388,84.957
2021-11-24 20:00:00,-6.77,84.122
2021-11-24 21:00:00,-7.543,78.77
2021-11-24 22:00:00,-8.497,80.717
2021-11-24 23:00:00,-7.348,78.076
2021-11-25 00:00:00,-6.898,79.4
2021-11-25 01:00:00,-7.284,81.103
2021-11-25 02:00:00,-9.202,80.301
2021-11-25 03:00:00,-10.686,82.108
2021-11-25 04:00:00,-9.066,76.722
