time,Tair,RH
2021-05-15 13:00:00,1.913,75.42
2021-05-15 14:00:00,2.423,75.071
2021-05-15 15:00:00,2.236,74.223
2021-05-15 16:00:00,1.262,73.401
2021-05-15 17:00:00,1.425,75.21
2021-05-15 18:00:00,2.262,75.198
2021-05-15 19:00:00,0.439,67.177
2021-05-15 20:00:00,0.495,61.909
2021-05-15 21:00:00,-0.143,77.528
2021-05-15 22:00:00,-1.327,76.98
2021-05-15 23:00:00,-1.9,75.248
2021-05-16 00:00:00,-2.976,76.855
2021-05-16 01:00:00,-4.469,80.264
2021-05-16 02:00:00,-4.957,80.661
2021-05-16 03:00:00,-5.854,83.198
2021-05-16 04:00:00,-6.547,81.075
2021-05-16 05:00:00,-5.854,79.996
2021-05-16 06:00:00,-6.073,79.64
2021-05-16 07:00:00,-6.262,79.749
2021-05-16 08:00:00,-6.073,78.594
2021-05-16 09:00:00,-2.625,73.532
2021-05-16 10:00:00,-0.143,72.007
2021-05-16 11:00:00,2.45,63.578
2021-05-16 12:00:00,5.231,56.65
2021-05-16 13:00:00,6.914,49.761
2021-05-16 14:00:00,6.585,44.973
2021-05-16 15:00:00,5.154,53.25
2021-05-16 16:00:00,5.591,51.558
2021-05-16 17:00:00,4.089,64.972
2021-05-16 18:00:00,2.93,72.303
2021-05-16 19:00:00,2.557,69.21
2021-05-16 20:00:00,2.316,67.836
2021-05-16 21:00:00,2.128,64.703
2021-05-16 22:00:00,1.94,64.922
2021-05-16 23:00:00,1.615,67.26
2021-05-17 00:00:00,1.262,75.095
2021-05-17 01:00:00,-0.62,79.257
2021-05-17 02:00:00,-1.756,78.142
2021-05-17 03:00:00,-2.392,78.573
2021-05-17 04:00:00,-3.153,80.542
2021-05-17 05:00:00,-4.197,80.991
2021-05-17 06:00:00,-4.257,81.257
2021-05-17 07:00:00,-3.271,79.41
2021-05-17 08:00:00,-3.035,79.205
2021-05-17 09:00:00,0.495,73.108
2021-05-17 10:00:00,3.354,67.475
2021-05-17 11:00:00,5.154,55.846
2021-05-17 12:00:00,5.616,56.505
2021-05-17 13:00:00,4.558,63.126
2021-05-17 14:00:00,4.61,61.792
2021-05-17 15:00:00,4.61,61.677
2021-05-17 16:00:00,3.749,67.186
2021-05-17 17:00:00,2.983,76.907
2021-05-17 18:00:00,4.089,68.45
2021-05-17 19:00:00,4.037,65.104
2021-05-17 20:00:00,3.433,68.492
2021-05-17 21:00:00,2.983,70.203
2021-05-17 22:00:00,2.717,70.618
2021-05-17 23:00:00,3.248,65.018
2021-05-18 00:00:00,0.962,77.638
2021-05-18 01:00:00,-0.367,78.66
2021-05-18 02:00:00,-0.311,78.908
2021-05-18 03:00:00,-0.535,79.667
2021-05-18 04:00:00,-0.451,80.154
2021-05-18 05:00:00,-0.143,79.024
2021-05-18 06:00:00,0.163,78.49
2021-05-18 07:00:00,0.218,80.359
2021-05-18 08:00:00,1.805,74.807
2021-05-18 09:00:00,4.48,61.11
2021-05-18 10:00:00,3.142,76.379
2021-05-18 11:00:00,2.717,75.805
2021-05-18 12:00:00,4.037,74.381
2021-05-18 13:00:00,3.854,73.69
2021-05-18 14:00:00,4.246,73.525
2021-05-18 15:00:00,4.636,72.757
2021-05-18 16:00:00,5.05,68.129
2021-05-18 17:00:00,4.558,72.028
2021-05-18 18:00:00,4.272,71.861
2021-05-18 19:00:00,4.714,72.91
2021-05-18 20:00:00,4.402,76.594
2021-05-18 21:00:00,3.433,77.164
2021-05-18 22:00:00,2.69,76.951
2021-05-18 23:00:00,2.021,77.976
2021-05-19 00:00:00,1.859,77.224
2021-05-19 01:00:00,1.697,78.487
2021-05-19 02:00:00,1.534,77.817
2021-05-19 03:00:00,1.344,77.934
2021-05-19 04:00:00,2.69,75.826
2021-05-19 05:00:00,1.832,76.072
2021-05-19 06:00:00,0.163,83.754
2021-05-19 07:00:00,0.107,85.627
2021-05-19 08:00:00,0.467,80.363
2021-05-19 09:00:00,0.55,82.715
2021-05-19 10:00:00,2.101,79.711
2021-05-19 11:00:00,4.61,75.097
2021-05-19 12:00:00,7.419,66.141
2021-05-19 13:00:00,6.813,66.627
2021-05-19 14:00:00,5.821,72.446
2021-05-19 15:00:00,5.847,73.524
2021-05-19 16:00:00,5.745,72.651
2021-05-19 17:00:00,5.179,74.971
2021-05-19 18:00:00,5.411,71.315
2021-05-19 19:00:00,5.05,73.033
2021-05-19 20:00:00,4.454,76.147
2021-05-19 21:00:00,4.272,76.808
2021-05-19 22:00:00,4.766,73.768
2021-05-19 23:00:00,4.636,74.069
2021-05-20 00:00:00,4.921,70.554
2021-05-20 01:00:00,4.714,71.205
2021-05-20 02:00:00,4.063,75.848
2021-05-20 03:00:00,3.801,76.035
2021-05-20 04:00:00,4.714,71.536
2021-05-20 05:00:00,5.642,67.623
2021-05-20 06:00:00,5.231,68.974
2021-05-20 07:00:00,2.423,77.559
2021-05-20 08:00:00,2.503,77.391
2021-05-20 09:00:00,2.557,75.878
2021-05-20 10:00:00,5.282,74.72
2021-05-20 11:00:00,6.839,66.546
2021-05-20 12:00:00,7.87,64.451
2021-05-20 13:00:00,6.661,73.001
2021-05-20 14:00:00,6.179,73.261
2021-05-20 15:00:00,5.668,74.363
2021-05-20 16:00:00,5.565,74.014
2021-05-20 17:00:00,5.05,74.645
2021-05-20 18:00:00,5.076,73.558
2021-05-20 19:00:00,4.714,75.173
2021-05-20 20:00:00,4.506,74.94
2021-05-20 21:00:00,5.179,73.415
2021-05-20 22:00:00,4.895,74.667
2021-05-20 23:00:00,5.539,70.537
2021-05-21 00:00:00,5.076,73.941
2021-05-21 01:00:00,6.128,68.445
2021-05-21 02:00:00,3.512,77.556
2021-05-21 03:00:00,3.089,76.501
2021-05-21 04:00:00,3.168,75.82
2021-05-21 05:00:00,2.664,76.945
2021-05-21 06:00:00,2.128,78.9
